Time	stat-140325-141141-1.txt	stat-140325-141803-2.txt	stat-140325-142325-3.txt	stat-140325-142843-4.txt	stat-140325-143543-5.txt	stat-140325-144118-6.txt	stat-140325-144646-7.txt	stat-140325-145638-8.txt	stat-140325-150236-9.txt	stat-140325-150735-10.txt	stat-140325-151320-11.txt	stat-140325-151904-12.txt	stat-140325-152845-13.txt	stat-140325-153619-14.txt	stat-140325-155215-15.txt	stat-140325-160153-16.txt	stat-140325-160905-17.txt	stat-140325-161439-18.txt
242	0	0	-	0	0	0	0	1	-	0	0	-	0	1	-	1	0	0	
243	0	0	-	0	0	0	0	0	-	0	0	-	0	0	-	0	0	0	
244	0	0	-	0	0	0	0	0	-	0	2	-	0	0	-	0	0	0	
245	0	0	-	0	0	0	0	0	-	0	0	-	0	0	-	0	0	0	
246	0	0	-	0	0	0	0	0	-	0	0	-	0	0	-	0	0	0	
247	0	0	-	0	0	1	0	0	-	1	0	-	0	0	-	0	0	0	
248	0	0	-	0	0	1	0	0	-	1	0	-	0	0	-	0	0	0	
249	0	0	-	0	0	1	0	0	-	1	0	-	0	0	-	0	0	0	
250	0	0	-	0	0	0	0	0	-	0	1	-	0	0	-	0	0	1	
251	0	1	-	0	1	0	0	0	-	0	1	-	1	0	-	0	0	1	
252	1	2	-	1	1	2	1	0	-	2	1	-	1	0	-	0	1	1	
253	1	1	-	1	2	0	1	1	-	0	-	-	1	1	-	1	1	0	
254	1	0	-	1	0	0	1	1	-	0	-	-	0	1	-	1	1	0	
255	0	0	-	0	0	0	0	1	-	0	-	-	0	1	-	1	0	0	
256	0	0	-	0	0	0	0	0	-	0	-	-	2	0	-	0	0	0	
257	2	2	-	0	0	0	2	0	-	0	-	-	-	0	-	0	0	0	
258	-	-	-	0	2	0	0	2	-	0	-	-	-	2	-	0	0	0	
259	-	-	-	2	0	0	0	0	-	0	-	-	-	0	-	0	2	0	
260	-	-	-	0	0	2	0	0	-	2	-	-	-	0	-	2	0	0	
261	-	-	-	0	0	0	0	0	-	0	-	-	-	0	-	0	0	0	
262	-	-	-	0	0	0	0	0	-	0	-	-	-	0	-	0	0	0	
263	-	-	-	0	0	0	0	0	-	0	-	-	-	0	-	0	0	4	
264	-	-	-	0	2	0	0	0	-	0	-	-	-	0	-	0	0	-	
265	-	-	-	2	0	2	2	0	-	2	-	-	-	0	-	0	2	-	
266	-	-	-	0	0	-	0	2	-	-	-	-	-	2	-	2	0	-	
267	-	-	-	0	0	-	0	0	-	-	-	-	-	0	-	0	0	-	
268	-	-	-	0	0	-	0	0	-	-	-	-	-	0	-	0	0	-	
269	-	-	-	0	2	-	0	0	-	-	-	-	-	0	-	0	0	-	
270	-	-	-	2	-	-	2	0	-	-	-	-	-	0	-	0	2	-	
271	-	-	-	-	-	-	-	2	-	-	-	-	-	2	-	2	-	-	
