Time	stat-140323-165754-Porta80-1.txt	stat-140323-170110-Porta80-2.txt	stat-140323-170443-Porta80-3.txt	stat-140323-170827-Porta80-4.txt	stat-140323-171146-Porta80-5.txt	stat-140323-171538-Porta80-6.txt	stat-140323-172116-Porta80-7.txt	stat-140323-172430-Porta80-8.txt	stat-140323-175630-Porta80-9.txt	stat-140323-180112-Porta80-10.txt	stat-140323-180435-Porta80-11.txt	stat-140323-181113-Porta80-12.txt	stat-140323-181502-Porta80-13.txt	stat-140323-181815-Porta80-14.txt	stat-140323-182337-Porta80-15.txt	stat-140323-182724-Porta80-16.txt	stat-140323-183053-Porta80-17.txt	stat-140323-183416-Porta80-18.txt	stat-140323-184039-Porta80-19.txt	stat-140323-211037-Porta80-20.txt	stat-140323-211944-Porta80-21.txt	stat-140323-212256-Porta80-22.txt	stat-140323-212658-Porta80-23.txt	stat-140323-213104-Porta80-24.txt	stat-140323-213427-Porta80-25.txt	stat-140323-213801-Porta80-26.txt	stat-140323-214220-Porta80-27.txt	stat-140323-214643-Porta80-28.txt	stat-140323-215116-Porta80-29.txt	stat-140323-215431-Porta80-30.txt
63	1008	1414	1326	1262	1302	678	1116	1288	1494	1120	1121	1411	1181	0	1084	1453	156	1144	0	0	1330	1427	1461	1438	0	0	517	1571	1068	39	
64	861	1500	1337	1280	1162	1493	1205	354	1478	1366	1432	1113	1544	578	1370	1261	1314	1415	0	264	1547	1758	1407	1340	0	1083	910	1689	323	0	
65	1543	1246	1520	1414	1106	1656	1481	1227	1483	1124	61	597	912	1126	1276	1324	1718	92	1051	1530	1293	74	1452	1485	231	1436	0	1531	0	0	
66	1477	832	1509	1502	1395	1566	1215	1938	1252	132	1100	997	0	1812	1447	1382	1139	0	1174	1426	1243	0	1100	1526	1380	885	562	868	0	1304	
67	477	0	867	1261	1329	1557	1274	1194	1958	0	1879	1125	0	1409	2106	932	1188	0	0	948	513	848	2058	1162	1229	0	956	518	1378	1421	
68	480	306	1775	1635	1992	2638	1318	2042	2802	1510	2721	1581	2035	1572	1582	1233	2884	107	0	1282	0	1930	3107	1410	1274	0	1189	1162	2584	1040	
69	1329	2891	0	2759	3044	3076	2715	2574	2347	2506	2780	2827	2920	2838	0	1426	3058	2783	0	2210	0	3048	2646	2571	2826	0	2766	2848	3012	2132	
70	1892	2850	0	3048	2415	3009	1290	2754	1382	2702	3366	919	2568	2754	1047	1281	2700	948	937	2529	1845	3169	2718	1966	2883	23	2809	2779	2441	3370	
71	1648	1815	0	2736	2279	2619	0	3065	0	2945	2945	1037	0	3135	2455	2181	2760	0	2608	2447	2796	2787	1638	0	2050	3244	2751	1240	2676	3004	
72	1047	0	2803	2282	0	2598	0	2617	792	437	2177	3220	0	2611	2788	1956	27	3318	2666	1611	1887	2998	0	0	0	2749	2923	0	2635	2334	
73	0	0	2672	0	942	350	2728	2627	2566	0	2683	3085	1739	298	1816	1634	0	2680	2400	0	0	2352	0	1526	1139	3086	3171	0	2297	838	
