Time	stat-140323-165754-Porta90-1.txt	stat-140323-170110-Porta90-2.txt	stat-140323-170443-Porta90-3.txt	stat-140323-170827-Porta90-4.txt	stat-140323-171146-Porta90-5.txt	stat-140323-171538-Porta90-6.txt	stat-140323-172116-Porta90-7.txt	stat-140323-172430-Porta90-8.txt	stat-140323-175630-Porta90-9.txt	stat-140323-180112-Porta90-10.txt	stat-140323-180435-Porta90-11.txt	stat-140323-181113-Porta90-12.txt	stat-140323-181502-Porta90-13.txt	stat-140323-181815-Porta90-14.txt	stat-140323-182337-Porta90-15.txt	stat-140323-182724-Porta90-16.txt	stat-140323-183053-Porta90-17.txt	stat-140323-183416-Porta90-18.txt	stat-140323-184039-Porta90-19.txt	stat-140323-211037-Porta90-20.txt	stat-140323-211944-Porta90-21.txt	stat-140323-212256-Porta90-22.txt	stat-140323-212658-Porta90-23.txt	stat-140323-213104-Porta90-24.txt	stat-140323-213427-Porta90-25.txt	stat-140323-213801-Porta90-26.txt	stat-140323-214220-Porta90-27.txt	stat-140323-214643-Porta90-28.txt	stat-140323-215116-Porta90-29.txt	stat-140323-215431-Porta90-30.txt
68	176952	15640	83340	547988	363084	681712	587784	555500	103224	290236	115028	311744	73572	402308	46728	371144	431940	0	0	654084	0	533032	122328	825116	712812	0	635676	719576	389388	679456	
69	159060	112480	0	99840	114612	113980	114756	107256	109480	107000	116988	108468	109480	114684	0	70628	114172	109940	0	206384	0	114468	113472	104580	354076	0	111468	144792	122256	93672	
70	80500	107916	0	108172	95964	106224	59892	114444	71944	110040	108836	31224	100096	101964	43972	73364	101660	56240	32588	101468	88104	111396	111756	92748	111756	0	119400	103236	98892	117468	
71	69816	62560	0	110040	104996	118608	0	107916	0	117900	119824	37728	0	117300	112160	84584	106288	0	95532	107980	106896	110012	78600	0	97464	115824	111108	64700	101708	122456	
72	44160	0	102064	89604	9432	103032	0	114172	29716	12576	93092	114756	0	105324	106872	91956	15576	106352	107660	46920	70740	109968	0	0	0	111612	127756	0	119088	103568	
73	0	0	106352	0	22296	18768	91104	109480	108840	0	102772	119472	71944	11004	84640	70636	0	101788	115736	0	0	103752	0	53448	29868	119472	115348	0	109960	31368	
74	7716	0	65968	60780	117460	0	110040	37536	110916	0	109020	114756	92404	20292	110448	93392	50256	109480	106480	78200	0	108396	56432	103752	113184	106896	89868	60828	37524	0	
75	83388	54164	0	111540	115904	0	116328	0	118608	108468	3160	47048	120236	114260	109408	90712	109968	118864	108504	100052	89604	15640	118800	102036	116328	100304	0	104228	0	45588	
76	83172	116080	0	111540	104916	52920	110040	0	4756	117380	32796	0	104828	117300	0	0	121044	103328	114300	106976	105188	10948	104468	0	86156	115148	0	110100	0	113100	
77	117684	105372	59736	100360	86980	117620	112608	102268	69384	111044	111500	0	111684	104532	0	0	9432	95852	56304	39728	104788	125108	12440	0	0	64144	0	19280	0	107724	
